Lead_Origin,Lead_Source,Do_Not_Email,Do_Not_Call,Converted,TotalVisits,Total_Time_On_Website,Page_Views_Per_Visit,Last_Activity,Specialization,Current_Occupation,Search,Newspaper_Article,X_Forums,Newspaper,Digital_Advertisement,Through_Recommendations,City,Free_Copy,Last_Notable_Activity
API,Olark_Chat,No,No,0,0,0,0,Page_Visited_on_Website,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Organic_Search,No,No,0,5,674,2.5,Email_Opened,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,1,2,1532,2,Email_Opened,Business_Administration,Student,No,No,No,No,No,No,Mumbai,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,0,1,305,1,Unreachable,Media_and_Advertising,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,2,1428,1,Converted_to_Lead,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Google,No,No,1,2,1640,2,Email_Opened,Supply_Chain_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
API,Olark_Chat,No,No,0,0,0,0,Olark_Chat_Conversation,Others,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Direct_Traffic,No,No,0,2,71,2,Email_Opened,IT_Projects_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Email_Opened
API,Google,No,No,0,4,58,4,Email_Opened,Finance_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Email_Opened
Landing_Page_Submission,Organic_Search,No,No,1,8,1351,8,Email_Opened,Travel_and_Tourism,Unemployed,No,No,No,No,No,No,Other_Metro_Cities,Yes,Email_Opened
Landing_Page_Submission,Direct_Traffic,No,No,1,8,1343,2.67,Page_Visited_on_Website,Human_Resource_Management,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Page_Visited_on_Website
API,Organic_Search,No,No,1,11,1538,11,Email_Opened,Marketing_Management,Unemployed,No,No,No,No,No,No,Mumbai,No,Modified
Landing_Page_Submission,Organic_Search,No,No,0,5,170,5,Email_Opened,Business_Administration,Unemployed,No,No,No,No,No,No,Thane_&_Outskirts,Yes,Email_Opened
